No,Trading Date,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,2020-01-03,AALI,Astra Agro Lestari Tbk.,--S1K--1,14025,0,03 Jan 2020,0,14450,14025,14100,75,1282400,18194257500,1336,1145.4,14100,46200,14075,500,1924688333,1924688333,1924688333,304100,359700,10000,143000000,1
2,2020-01-03,ABBA,Mahaka Media Tbk.,--U9---2,105,0,03 Jan 2020,0,107,104,106,1,7456200,788309200,535,186.0,106,119200,105,208800,2755125000,2755125000,2755125000,0,0,0,0,0
3,2020-01-03,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,6925,0,03 Jan 2020,0,0,0,6925,0,0,0,0,1581.0,6600,100,5550,100,620806680,620806680,620806680,0,0,0,0,0
4,2020-01-03,ABMM,ABM Investama Tbk.,--U9---1,1530,0,03 Jan 2020,0,0,0,1530,0,0,0,0,40.8,1515,1000,1205,500,2753165000,2753165000,2753165000,0,0,0,0,0
5,2020-01-03,ACES,Ace Hardware Indonesia Tbk.,--S9KB-1,1510,0,03 Jan 2020,0,1525,1500,1515,5,15248800,23050774000,4049,1847.6,1515,153500,1510,634000,17150000000,17150000000,17150000000,12661700,10161600,1872529,2836882125,4
6,2020-01-03,ACST,Acset Indonusa Tbk.,--U6---1,995,0,03 Jan 2020,0,1000,995,1000,5,29500,29455000,18,42.0,1000,15600,995,200,700000000,700000000,700000000,0,0,0,0,0
7,2020-01-03,ADES,Akasha Wira International Tbk.,--U5---2,1045,0,03 Jan 2020,0,1060,1045,1050,5,1300,1363500,5,54.5,1050,19400,1025,100,589896800,589896800,589896800,0,0,0,0,0
8,2020-01-03,ADHI,Adhi Karya (Persero) Tbk.,--U6K--1,1170,0,03 Jan 2020,0,1215,1175,1210,40,13514500,16218397500,2276,950.3,1210,61900,1205,88700,3560849376,3560849376,3560849376,722500,1048600,90,108900,1
9,2020-01-03,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,10425,0,03 Jan 2020,0,10425,10350,10425,0,250300,2597262500,53,448.4,10425,5300,10400,200,1000000000,1000000000,1000000000,16400,0,0,0,0
10,2020-01-03,ADMG,Polychem Indonesia Tbk,--U3---1,187,0,03 Jan 2020,0,191,185,187,0,323100,60848600,56,16.7,189,25200,186,49800,3889179559,3889179559,3889179559,0,0,0,0,0
11,2020-01-03,ADRO,Adaro Energy Tbk.,--S2BXO1,1495,1460,03 Jan 2020,1460,1470,1425,1465,-30,117795600,170253394000,9962,133.2,1470,1803700,1465,961400,31985962000,31985962000,31985962000,10875100,16082600,19737899,28772802005,5
12,2020-01-03,AGAR,Asia Sejahtera Mina Tbk.,--U9---2,392,0,03 Jan 2020,0,392,360,368,-24,380300,144123800,58,334.5,368,108400,364,5000,1000000000,250000000,1000000000,0,0,0,0,0
13,2020-01-03,AGII,Aneka Gas Industri Tbk.,--S3---1,650,0,03 Jan 2020,0,650,635,645,-5,173900,111622000,55,58.6,645,3900,640,4900,3066660000,3066660000,3066660000,0,0,0,0,0
14,2020-01-03,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,--M8---1,197,0,03 Jan 2020,0,206,194,199,2,4323900,863705500,553,325.1,199,27200,198,195300,21129857328,21129857328,21129857328,0,0,0,0,0
15,2020-01-03,AGRS,Bank IBK Indonesia Tbk.,--U8---2,150,0,03 Jan 2020,0,165,144,146,-4,99900,15287400,58,132.7,150,10800,146,3000,7037266148,7037266148,7037266148,0,10000,0,0,0
16,2020-01-03,AHAP,Asuransi Harta Aman Pratama Tbk.,--U8---2,58,0,03 Jan 2020,0,60,50,59,1,24600,1427000,23,222.4,59,19800,58,2500,2940000000,2940000000,2940000000,0,0,0,0,0
17,2020-01-03,AIMS,Akbar Indo Makmur Stimec Tbk,--U9---2,180,0,03 Jan 2020,0,0,0,180,0,0,0,0,144.0,0,0,0,0,220000000,220000000,220000000,0,0,0,0,0
18,2020-01-03,AISA,Tiga Pilar Sejahtera Food Tbk.,--U5---1,168,0,03 Jan 2020,0,0,0,168,0,0,0,0,20.4,0,0,0,0,3218600000,3218600000,3218600000,0,0,0,0,0
19,2020-01-03,AKKU,Anugerah Kagum Karya Utama Tbk.,--U9---2,50,0,03 Jan 2020,0,50,50,50,0,21300,1065000,5,75.9,50,2830800,0,0,6449463636,6449463636,6449463636,0,0,0,0,0
20,2020-01-03,AKPI,Argha Karya Prima Industry Tbk.,--U3---2,380,0,03 Jan 2020,0,418,382,410,30,6000,2427600,7,54.1,418,18800,380,2500,680000000,680000000,680000000,2400,1700,0,0,0
21,2020-01-03,AKRA,AKR Corporindo Tbk.,--S9XXO1,3900,3900,03 Jan 2020,3920,3930,3780,3790,-110,7915400,30669651000,1647,3020.6,3800,1000,3790,61100,4014694920,4014694920,4014694920,484000,660300,0,0,0
22,2020-01-03,AKSI,Majapahit Inti Corpora Tbk.,--U7---2,1150,0,03 Jan 2020,0,1275,1100,1220,70,48700,59450500,43,610.0,1220,500,1200,400,720000000,720000000,720000000,0,10300,0,0,0
23,2020-01-03,ALDO,Alkindo Naratama Tbk.,--U3---2,400,0,03 Jan 2020,0,414,390,390,-10,8100,3241400,5,285.8,394,100,390,30800,1100000000,1100000000,1100000000,0,0,0,0,0
