No,Trading Date,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,2020-01-07,AALI,Astra Agro Lestari Tbk.,--S1K--1,13500,0,07 Jan 2020,0,13750,13225,13400,-100,1397200,18866090000,1478,1088.6,13500,88300,13400,4700,1924688333,1924688333,1924688333,56200,252800,54,718200,1
2,2020-01-07,ABBA,Mahaka Media Tbk.,--U9---2,104,0,07 Jan 2020,0,108,103,104,0,19001800,2005895000,1148,182.5,105,375900,104,1632200,2755125000,2755125000,2755125000,50000,0,0,0,0
3,2020-01-07,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,6925,0,07 Jan 2020,0,0,0,6925,0,0,0,0,1581.0,6225,100,5550,100,620806680,620806680,620806680,0,0,0,0,0
4,2020-01-07,ABMM,ABM Investama Tbk.,--U9---1,1530,0,07 Jan 2020,0,0,0,1530,0,0,0,0,40.8,1515,1000,1170,1000,2753165000,2753165000,2753165000,0,0,0,0,0
5,2020-01-07,ACES,Ace Hardware Indonesia Tbk.,--S9KB-1,1470,0,07 Jan 2020,0,1485,1415,1440,-30,34751300,50145393000,6487,1756.1,1440,356400,1435,235700,17150000000,17150000000,17150000000,23865600,10343900,6029700,8670108000,4
6,2020-01-07,ACST,Acset Indonusa Tbk.,--U6---1,1000,0,07 Jan 2020,0,1000,980,1000,0,2100,2085500,6,42.0,1000,186600,985,5000,700000000,700000000,700000000,1300,0,0,0,0
7,2020-01-07,ADES,Akasha Wira International Tbk.,--U5---2,1050,0,07 Jan 2020,0,1080,1025,1065,15,20600,21745000,22,55.3,1065,2600,1040,100,589896800,589896800,589896800,10000,0,0,0,0
8,2020-01-07,ADHI,Adhi Karya (Persero) Tbk.,--U6K--1,1185,0,07 Jan 2020,0,1200,1180,1185,0,5072100,6030810500,1155,930.6,1190,733500,1185,253700,3560849376,3560849376,3560849376,296200,985500,62030,75365550,3
9,2020-01-07,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,10350,0,07 Jan 2020,0,10400,10300,10300,-50,273700,2822857500,90,443.0,10350,400,10300,1000,1000000000,1000000000,1000000000,44400,0,0,0,0
10,2020-01-07,ADMG,Polychem Indonesia Tbk,--U3---1,186,0,07 Jan 2020,0,194,186,186,0,565000,105398000,46,16.6,186,8700,185,41200,3889179559,3889179559,3889179559,0,0,0,0,0
11,2020-01-07,ADRO,Adaro Energy Tbk.,XDS2BXO1,1465,1480,07 Jan 2020,1480,1540,1460,1540,75,74336500,111904890000,7716,140.0,1545,2729800,1540,521000,31985962000,31985962000,31985962000,12107100,29293000,695514,1039248010,4
12,2020-01-07,AGAR,Asia Sejahtera Mina Tbk.,--U9---2,358,0,07 Jan 2020,0,370,356,370,12,61400,21929600,33,336.4,370,9700,358,2900,1000000000,250000000,1000000000,0,0,0,0,0
13,2020-01-07,AGII,Aneka Gas Industri Tbk.,--S3---1,645,0,07 Jan 2020,0,645,625,625,-20,126300,79281500,70,56.8,625,25500,620,25800,3066660000,3066660000,3066660000,0,0,0,0,0
14,2020-01-07,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,--M8---1,196,0,07 Jan 2020,0,199,196,199,3,1191700,235147000,330,325.1,199,93200,198,7400,21129857328,21129857328,21129857328,1200,252900,0,0,0
15,2020-01-07,AGRS,Bank IBK Indonesia Tbk.,--U8---2,140,0,07 Jan 2020,0,150,140,141,1,135900,19648800,31,128.2,143,400,141,25900,7037266148,7037266148,7037266148,0,0,0,0,0
16,2020-01-07,AHAP,Asuransi Harta Aman Pratama Tbk.,--U8---2,58,0,07 Jan 2020,0,62,59,60,2,9300,558500,11,226.2,59,3200,58,11000,2940000000,2940000000,2940000000,0,0,0,0,0
17,2020-01-07,AIMS,Akbar Indo Makmur Stimec Tbk,--U9---2,180,0,07 Jan 2020,0,0,0,180,0,0,0,0,144.0,0,0,0,0,220000000,220000000,220000000,0,0,0,0,0
18,2020-01-07,AISA,Tiga Pilar Sejahtera Food Tbk.,--U5---1,168,0,07 Jan 2020,0,0,0,168,0,0,0,0,20.4,0,0,0,0,3218600000,3218600000,3218600000,0,0,0,0,0
19,2020-01-07,AKKU,Anugerah Kagum Karya Utama Tbk.,--U9---2,50,0,07 Jan 2020,0,50,50,50,0,2500,125000,3,75.9,50,3720000,0,0,6449463636,6449463636,6449463636,0,0,0,0,0
20,2020-01-07,AKPI,Argha Karya Prima Industry Tbk.,--U3---2,410,0,07 Jan 2020,0,410,410,410,0,6200,2542000,3,54.1,408,9500,376,2000,680000000,680000000,680000000,0,6200,0,0,0
21,2020-01-07,AKRA,AKR Corporindo Tbk.,--S9XXO1,3640,3690,07 Jan 2020,3690,3700,3490,3530,-110,17326000,61307850000,3127,2813.4,3530,22200,3520,13800,4014694920,4014694920,4014694920,6254500,1201800,0,0,0
22,2020-01-07,AKSI,Majapahit Inti Corpora Tbk.,--U7---2,1080,0,07 Jan 2020,0,1080,810,810,-270,82300,71113500,47,405.0,945,2000,810,5900,720000000,720000000,720000000,16400,2500,0,0,0
23,2020-01-07,ALDO,Alkindo Naratama Tbk.,--U3---2,400,0,07 Jan 2020,0,400,390,400,0,10800,4303000,5,293.2,400,16700,390,39300,1100000000,1100000000,1100000000,0,0,0,0,0
24,2020-01-07,ALKA,Alakasa Industrindo Tbk,--U3---2,400,0,07 Jan 2020,0,410,380,410,10,300,118200,3,69.0,410,100,390,600,507665055,507665055,507665055,0,0,0,0,0
25,2020-01-07,ALMI,Alumindo Light Metal Industry Tbk.,--U3---2,310,0,07 Jan 2020,0,386,310,348,38,27200,10005000,26,53.5,348,240800,310,100200,616000000,616000000,616000000,600,0,0,0,0
26,2020-01-07,ALTO,Tri Banyan Tirta Tbk.,--U5---1,400,0,07 Jan 2020,0,400,380,400,0,2631100,1023552600,22,199.8,400,20100,370,2000,2191870558,2191870558,2191870558,0,0,0,0,0
27,2020-01-07,AMAG,Asuransi Multi Artha Guna Tbk.,--U8---2,296,0,07 Jan 2020,0,296,296,296,0,100,29600,1,281.9,296,3600,282,100,5001552516,5001552516,5001552516,0,0,0,0,0
28,2020-01-07,AMFG,Asahimas Flat Glass Tbk.,--U3---1,3600,0,07 Jan 2020,0,3900,3700,3860,260,4700,18115000,17,157.6,3860,14200,3700,4000,434000000,434000000,434000000,0,0,0,0,0
29,2020-01-07,AMIN,Ateliers Mecaniques D Indonesie Tbk.,--U4---2,310,0,07 Jan 2020,0,310,310,310,0,2500,775000,2,242.2,310,1300,308,100,1080000000,1080000000,1080000000,0,0,0,0,0
30,2020-01-07,AMRT,Sumber Alfaria Trijaya Tbk.,--U9---1,845,0,07 Jan 2020,0,850,840,840,-5,20500,17274500,21,2143.5,840,9900,830,2700,41524501700,41524501700,41524501700,0,0,0,0,0
31,2020-01-07,ANDI,Andira Agro Tbk.,--U1---2,50,0,07 Jan 2020,0,50,50,50,0,1235300,61765000,160,125.0,50,17058600,0,0,9350000000,9350000000,9350000000,0,0,1035500,46597500,1
32,2020-01-07,ANJT,Austindo Nusantara Jaya Tbk.,--U1---1,945,0,07 Jan 2020,0,0,0,945,0,0,0,0,78.8,925,1000,710,2000,3354175000,3354175000,3354175000,0,0,0,0,0
33,2020-01-07,ANTM,Aneka Tambang Tbk.,--S2XXO1,885,885,07 Jan 2020,890,895,865,875,-10,93750600,82216794000,7907,576.9,880,940000,875,2206500,24030764725,24030764725,24030764725,6415600,2262000,1764900,1787436500,3
34,2020-01-07,APEX,Apexindo Pratama Duta Tbk.,--U2---2,336,0,07 Jan 2020,0,332,332,332,-4,100,33200,1,21.3,330,300,264,100,2659850000,2659850000,2659850000,0,0,0,0,0
35,2020-01-07,APIC,Pacific Strategic Financial Tbk.,--U8---2,700,0,07 Jan 2020,0,700,690,700,0,17354500,12062947500,1105,744.6,700,111700,695,220200,11766313488,11766313488,11766313488,306100,30100,145000000,99475000000,4
36,2020-01-07,APII,Arita Prima Indonesia Tbk.,--U9---2,179,0,07 Jan 2020,0,171,171,171,-8,100,17100,1,77.7,174,100,165,5000,1075760000,1075760000,1075760000,0,0,0,0,0
37,2020-01-07,APLI,Asiaplast Industries Tbk.,--U3---1,132,0,07 Jan 2020,0,157,132,142,10,86000,12489000,86,118.3,145,1000,142,2500,1362671400,1362671400,1362671400,0,0,0,0,0
38,2020-01-07,APLN,Agung Podomoro Land Tbk.,--M6K--1,175,0,07 Jan 2020,0,177,175,175,0,8621200,1514702300,645,47.9,176,707000,175,7235100,19364561700,19364561700,19364561700,2048400,0,0,0,0
39,2020-01-07,APOL,Arpeni Pratama Ocean Line Tbk.,--U7---1,50,0,07 Jan 2020,0,0,0,50,0,0,0,0,16.0,0,0,0,0,16452282461,16452282461,16452282461,0,0,0,0,0
40,2020-01-07,ARGO,Argo Pantes Tbk,--U4---2,825,0,07 Jan 2020,0,0,0,825,0,0,0,0,20.7,0,0,0,0,335557450,335557450,335557450,0,0,0,0,0
41,2020-01-07,ARII,Atlas Resources Tbk.,--U2---2,715,0,07 Jan 2020,0,0,0,715,0,0,0,0,47.7,710,10000,600,5000,3000000000,3000000000,3000000000,0,0,0,0,0
